,datetime,post
77,2021-10-06 23:31:28,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $XLM
2: $FTM
3: $SHIB
4: $MTA
5: $ALCX… https://t.co/6fsjLvEk7o"
78,2021-10-06 23:31:04,"RT @ValaAfshar: Largest market cap ($ trillion): 

1 $AAPL $2.31T
2 $MSFT $2.17T
3 $GOOG $1.79T
4 $AMZN $1.64T
5 $BTC $1.03T
6 $FB $0.918T…"
79,2021-10-06 23:30:38,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
80,2021-10-06 23:30:12,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/ZXjNi3JVYb
$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC… https://t.co/8EAoLqQW0K"
81,2021-10-06 23:30:11,"Amazon $AMZN has 4X the market cap of Alibaba $BABA

$AMZN $29 Billion in Income ✅
$BABA $22 Billion in income… https://t.co/k6BdTz2I6d"
82,2021-10-06 23:29:17,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
83,2021-10-06 23:28:54,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
84,2021-10-06 23:27:24,"RT @prdctnomics: Q3 stock portfolio update:
$MSFT $AMZN $FB $GOOGL $ETSY $INTU $COST $CHTR $PM $CDNS $MTCH $EL $HD $MA $V $SPGI $CNSWF / $C…"
85,2021-10-06 23:26:39,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
86,2021-10-06 23:25:28,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
87,2021-10-06 23:25:17,"@RBReich Dear liberal @rbreich, the median US worker isn't a risk-taker &amp; a job-creator, as you well know.  Musk ha… https://t.co/DVmrk6vjiz"
88,2021-10-06 23:24:48,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
89,2021-10-06 23:24:13,"RT @SpartanTrading: Thanks to everyone who came &amp; checked us out this morning during our Pre-market Analysis, streamed every Wednesday via…"
90,2021-10-06 23:24:02,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
91,2021-10-06 23:20:35,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
92,2021-10-06 23:20:05,"$FB and $AMZN are undervalued today. 

$TSLA is undervalued tomorrow"
93,2021-10-06 23:19:10,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
94,2021-10-06 23:18:28,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
95,2021-10-06 23:18:09,"@moneycatfinance @BusinessFamous Fabulous point. And also the fact that today, I do consider investment management… https://t.co/WLGhPKh9gy"
96,2021-10-06 23:18:02,"RT @Ryan11D: 🦩Watchlist #Results (10/6)🦩 

$AFRM 115c | 3.3 -&gt; 22.40! (+579%) 🦩 🚀 
$AMZN (Failed) (Late triggers)
$BA 225c | 1.63 -&gt; 2.41!…"
97,2021-10-06 23:16:39,Got chopped up and down all day on $amzn. Was able to scalp 3230c on the break of the downtrend line https://t.co/7KpspoGC7w
98,2021-10-06 23:16:22,"@JonahLupton $fdx $amzn $rblx $pltr $riot 

More than 3 names, so do I get squid game’d ? https://t.co/5c9Whc3MFg"
99,2021-10-06 23:16:20,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
100,2021-10-06 23:16:19,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
101,2021-10-06 23:16:15,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
102,2021-10-06 23:16:12,"Feeling like we get an $AMZN 100 pt+ day tomorrow... just me..? 

3300, 3319, 3363 levels we need to clear."
103,2021-10-06 23:16:10,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $XLM
2: $SHIB
3: $FTM
4: $MTA
5: $ALCX… https://t.co/0aU4SfGxSQ"
